Frame,ID,Head_X,Head_Y,Middle_X,Middle_Y,Tail_X,Tail_Y,Angle,Smoothed_X,Smoothed_Y
0,1,799.91656,507.4087,824.6031,530.74207,841.7798,561.5152,17.44506574085812,824.6011604710866,530.7612894437476
1,1,800.5326,507.73355,824.0883,530.1296,840.6432,559.6331,17.1482597349443,824.1675595230826,530.1551098517658
2,1,800.1265,507.59067,822.9056,529.221,839.268,557.94366,16.812862341055865,823.0573798120413,529.35021764259
3,1,799.87836,507.00217,822.1343,528.2602,837.90186,556.5443,17.17531930243058,822.2542852790936,528.4574889823998
4,1,800.1557,506.09262,822.13696,527.56854,838.1898,555.5586,15.831114812684946,821.8343059220136,527.5878000373749
5,1,800.64264,504.87064,822.1661,526.9888,839.11005,554.0758,12.191764832850208,821.6514228006569,526.8334589392633
6,1,800.5993,503.7111,822.04346,526.29913,839.44275,553.94867,11.33049348685244,821.5790551665584,526.2125016820864
7,1,800.8867,502.4959,822.0878,526.04004,840.218,553.7049,8.763673432193668,821.4954818191729,525.7243962254336
8,1,800.96,501.91202,821.5254,525.8711,839.6108,553.74036,7.660217338994239,821.3021461577193,525.3523108510916
9,1,800.17255,501.71902,820.84064,525.70404,839.4053,553.9121,7.4015454950163395,820.9931499804724,525.0142151296374
10,1,797.7711,501.34247,820.6802,524.9708,838.5785,554.1454,12.58576633751646,820.5857596854704,524.6269682681946
11,1,796.09784,500.91766,819.86975,524.371,838.23004,553.5357,13.194578244544804,820.0972416707526,524.1681867312848
12,1,795.0091,500.91956,818.8732,523.7963,837.59314,553.4826,13.974977501167622,819.5538330644215,523.6650968548792
13,1,794.7804,501.1855,818.52826,523.7004,837.36145,553.728,14.430946355132685,819.0176539148351,523.2826072033499
14,1,794.2528,500.88425,818.45874,524.083,837.3729,553.49603,13.473879619263869,818.5597950004155,523.1198120878149
15,1,794.47656,501.01706,818.5335,523.9018,837.1411,553.80853,14.541094954777616,818.2309265894563,522.9531405566271
16,1,794.34406,501.31055,818.5424,523.41376,837.7062,553.7106,15.276131365100738,818.0000369097374,522.7718827624018
17,1,794.1467,501.37833,818.35236,523.6795,837.5742,554.0155,14.98527041530591,817.8156936789106,522.6436028364076
18,1,794.7689,501.6667,818.2881,524.0196,837.6123,553.64966,13.344686348414232,817.6264646146268,522.6358649099136
19,1,794.34705,501.68954,817.9749,523.89844,837.2349,553.88165,14.058098154165895,817.3809174345377,522.7946389922155
20,1,794.2183,503.00644,816.8046,524.97253,835.6283,553.9742,12.81176145822588,817.0276198562947,523.0795186047158
21,1,792.8485,503.3198,815.4235,525.53906,834.4056,554.01715,11.769611026385476,816.5151395975493,523.4285031468432
22,1,791.5852,504.20596,814.6712,525.6057,833.55005,554.45874,13.973619872841304,815.8278090290779,523.7902629637666
23,1,790.7416,504.10428,814.0107,525.46185,833.6488,554.48785,13.371574067277043,815.093019134158,524.1561521836144
24,1,790.8879,504.31363,814.0715,525.7022,833.85803,554.7208,13.017751065473965,814.4739255491925,524.5281958802548
25,1,790.9515,505.2132,814.6128,526.17163,834.12,554.98804,14.37056835289306,814.0925016227143,524.9084191275562
26,1,791.5037,505.64444,814.66,526.6621,834.1735,554.8971,13.122840748216314,813.9059915517818,525.2988469993865
27,1,791.0402,506.54895,814.69995,526.47284,834.08435,555.4374,16.106985953547774,813.8304572455841,525.7015045696141
28,1,791.24603,506.5151,814.97375,527.0957,834.8541,556.0874,14.623335908680977,813.807890970545,526.1262783295415
29,1,792.84973,506.50247,815.471,527.63916,835.1109,556.3507,12.569393556747062,813.884006422029,526.6145004402074
30,1,795.9138,505.59128,816.0332,528.6775,835.2063,556.72906,6.719452242926996,814.130447652635,527.2046948941698
31,1,797.717,504.6334,816.94604,529.0644,834.9085,556.79517,5.272545584333794,814.618858714962,527.8927073403283
32,1,801.67224,504.5474,818.5723,530.2964,836.38245,557.0597,0.3636945235202828,815.3852514730214,528.643644270795
33,1,809.0092,503.8769,819.5448,530.4703,837.5153,555.8104,13.731060326918747,816.3231090364721,529.3423338941936
34,1,812.17474,503.15125,820.22363,530.2052,838.06696,555.83185,18.280317863206857,817.290282326385,529.8535348482753
35,1,815.00555,501.6277,820.48004,529.30615,838.6145,554.6186,24.430705687471452,818.1689434454595,530.0766430738792
36,1,814.9373,501.4655,820.69293,528.5644,838.082,554.8585,21.486741186668656,818.9385492229095,530.0496037241942
37,1,817.13184,500.22668,820.6583,527.8752,838.3945,553.8966,27.009581306347076,819.6028776695769,529.8449992554969
38,1,818.4279,500.15997,820.74963,527.58905,838.3582,554.71326,28.152723855713905,820.1657067963042,529.5213449155801
39,1,820.04315,499.74887,820.75946,526.75073,837.7291,554.2203,30.186643244125825,820.630814613933,529.0808871183029
40,1,820.7326,498.75037,820.82996,526.4497,838.59656,553.8912,32.71912467379393,821.001979133306,528.5118050690398
41,1,821.06494,496.1672,820.92725,524.80963,838.3729,553.70856,31.39393692746704,821.289705368349,527.8121431322875
